Trip ID,Route ID,Stop ID,Stop Sequence,Arrival Time (Epoch),Delay (Seconds)
1091962,206,2975,15,1782724853,0
1091962,206,2949,16,1782724887,0
1091962,206,2919,17,1782724944,0
1091962,206,2875,18,1782725012,0
1091962,206,2825,19,1782725054,0
1091962,206,2772,20,1782725123,0
1091962,206,2730,21,1782725178,0
1091962,206,2647,22,1782725229,0
1091962,206,2582,23,1782725275,0
1091962,206,2525,24,1782725321,0
1091962,206,2470,25,1782725356,0
1091975,206,6456,5,1782723412,0
1091975,206,6448,6,1782723515,0
1091975,206,3413,7,1782723646,0
1091975,206,100623,8,1782723811,0
1091975,206,6762,9,1782723855,0
1091975,206,3171,10,1782723910,0
1091975,206,3162,11,1782723960,0
1091975,206,3145,12,1782723984,0
1091975,206,3102,13,1782724015,0
1091975,206,3066,14,1782724045,0
1091975,206,2975,15,1782724146,0
1091975,206,2949,16,1782724170,0
1091975,206,2919,17,1782724198,0
1091975,206,2875,18,1782724267,0
1091975,206,2825,19,1782724323,0
1091975,206,2772,20,1782724405,0
1091975,206,2730,21,1782724508,0
1091975,206,2647,22,1782724554,0
1091975,206,2582,23,1782724609,0
1091975,206,2525,24,1782724661,0
1091975,206,2470,25,1782724701,0
1091975,206,2403,26,1782724781,0
1091975,206,2312,27,1782724836,0
1091975,206,2309,28,1782724868,0
1091975,206,2240,29,1782724916,0
1091975,206,2166,30,1782724997,0
1091975,206,101676,31,1782725111,0
1091975,206,101674,32,1782725188,0
1091982,206,2919,17,1782723371,0
1091982,206,2875,18,1782723455,0
1091982,206,2825,19,1782723522,0
1091982,206,2772,20,1782723584,0
1091982,206,2730,21,1782723696,0
1091982,206,2647,22,1782723745,0
1091982,206,2582,23,1782723805,0
1091982,206,2525,24,1782723846,0
1091982,206,2470,25,1782723888,0
1091982,206,2403,26,1782723953,0
1091982,206,2312,27,1782724049,0
1091982,206,2309,28,1782724092,0
1091982,206,2240,29,1782724135,0
1091982,206,2166,30,1782724173,0
1091982,206,101676,31,1782724288,0
1091982,206,101674,32,1782724373,0
1091982,206,101672,33,1782724471,0
1091982,206,101104,34,1782724573,0
1091982,206,1927,999,1782724645,0
1092003,206,2825,19,1782723387,0
1092003,206,2772,20,1782723446,0
1092003,206,2730,21,1782723564,0
1092003,206,2647,22,1782723610,0
1092003,206,2582,23,1782723668,0
1092003,206,2525,24,1782723705,0
1092003,206,2470,25,1782723751,0
1092003,206,2403,26,1782723811,0
1092003,206,2312,27,1782723910,0
1092003,206,2309,28,1782723940,0
1092003,206,2240,29,1782723967,0
1092003,206,2166,30,1782724018,0
1092003,206,101676,31,1782724116,0
1092003,206,101674,32,1782724196,0
1092003,206,101672,33,1782724265,0
1092003,206,101104,34,1782724363,0
1092003,206,1927,999,1782724436,0
1092006,206,3890,1,1782724911,0
1092006,206,3718,2,1782725159,0
1092006,206,3664,3,1782725249,0
1092029,206,2866,19,1782723396,0
1092029,206,2899,20,1782723501,0
1092029,206,2951,21,1782723532,0
1092029,206,2976,22,1782723589,0
1092029,206,3070,23,1782723699,0
1092029,206,3109,24,1782723728,0
1092029,206,3141,25,1782723785,0
1092029,206,3161,26,1782723809,0
1092029,206,3173,27,1782723835,0
1092029,206,6761,999,1782723903,0
1092099,208,2187,1,1782723420,0
1092099,208,2094,2,1782723509,0
1092099,208,2008,3,1782723578,0
1092099,208,1955,4,1782723647,0
1092099,208,1885,5,1782723734,0
1092099,208,1860,6,1782723780,0
1092099,208,1878,7,1782723841,0
1092099,208,1902,8,1782723907,0
1092099,208,1925,9,1782723968,0
1092099,208,1947,10,1782724020,0
1092099,208,100085,11,1782724069,0
1092099,208,100086,12,1782724120,0
1092099,208,100087,13,1782724173,0
1092099,208,100088,14,1782724242,0
1092099,208,100731,15,1782724320,0
1092099,208,100729,16,1782724357,0
1092099,208,2013,17,1782724425,0
1092099,208,2081,18,1782724464,0
1092099,208,100298,19,1782724513,0
1092099,208,100299,20,1782724555,0
1092099,208,100300,21,1782724601,0
1092099,208,2159,22,1782724623,0
1092099,208,2224,23,1782724659,0
1092099,208,2245,24,1782724606,0
1092099,208,2282,25,1782724657,0
1092099,208,2290,26,1782724710,0
1092111,208,2187,1,1782726300,0
1092111,208,2094,2,1782726380,0
1092111,208,2008,3,1782726442,0
1092111,208,1955,4,1782726504,0
1092111,208,1885,5,1782726582,0
1092111,208,1860,6,1782726624,0
1092111,208,1878,7,1782726679,0
1092111,208,1902,8,1782726739,0
1092111,208,1925,9,1782726794,0
1092111,208,1947,10,1782726840,0
1092111,208,100085,11,1782726889,0
1092111,208,100086,12,1782726940,0
1092111,208,100087,13,1782726993,0
1092111,208,100088,14,1782727062,0
1092111,208,100731,15,1782727140,0
1092111,208,100729,16,1782727174,0
1092111,208,2013,17,1782727235,0
1092111,208,2081,18,1782727270,0
1092111,208,100298,19,1782727314,0
1092111,208,100299,20,1782727352,0
1092111,208,100300,21,1782727393,0
1092111,208,2159,22,1782727413,0
1092111,208,2224,23,1782727446,0
1092111,208,2245,24,1782727470,0
1092111,208,2282,25,1782727516,0
1092113,208,3102,10,1782723401,0
1092113,208,3066,11,1782723437,0
1092113,208,2975,12,1782723506,0
1092113,208,2949,13,1782723532,0
1092113,208,2919,14,1782723565,0
1092113,208,2875,15,1782723645,0
1092113,208,2825,16,1782723706,0
1092113,208,2772,17,1782723772,0
1092113,208,2730,18,1782723875,0
1092113,208,2647,19,1782723919,0
1092113,208,2582,20,1782723978,0
1092113,208,2525,21,1782724018,0
1092113,208,2470,22,1782724064,0
1092113,208,2403,23,1782724126,0
1092113,208,2312,24,1782724215,0
1092113,208,2284,25,1782724326,0
1092113,208,2278,26,1782724360,0
1092113,208,2273,27,1782724389,0
1092113,208,2222,28,1782724431,0
1092113,208,2210,29,1782724472,0
1092113,208,100295,30,1782724511,0
1092113,208,100296,31,1782724560,0
1092113,208,100297,32,1782724637,0
1092113,208,2079,33,1782724700,0
1092113,208,2026,34,1782724735,0
1092113,208,100728,35,1782724820,0
1092113,208,100730,36,1782724868,0
1092113,208,100089,37,1782724939,0
1092113,208,100090,38,1782725003,0
1092113,208,100091,39,1782725055,0
1092113,208,100092,40,1782725118,0
1092113,208,1927,41,1782725168,0
1092113,208,1913,42,1782725232,0
1092125,208,6761,46,1782723393,0
1092125,208,100622,47,1782723424,0
1092125,208,3386,48,1782723500,0
1092125,208,3487,49,1782723610,0
1092125,208,3531,999,1782723727,0
1092129,208N,6456,2,1782723530,0
1092129,208N,6448,3,1782723660,0
1092129,208N,3413,4,1782723696,0
1092129,208N,100623,5,1782723842,0
1092129,208N,6762,6,1782723896,0
1092129,208N,3171,7,1782723960,0
1092129,208N,3162,8,1782723998,0
1092129,208N,3145,9,1782724034,0
1092129,208N,3102,10,1782724105,0
1092129,208N,3066,11,1782724142,0
1092129,208N,2975,12,1782724239,0
1092129,208N,2949,13,1782724273,0
1092129,208N,2919,14,1782724330,0
1092129,208N,2875,15,1782724398,0
1092129,208N,2825,16,1782724440,0
1092129,208N,2772,17,1782724509,0
1092129,208N,2730,18,1782724564,0
1092129,208N,2647,19,1782724615,0
1092130,208N,2278,26,1782723384,0
1092130,208N,2273,27,1782723416,0
1092130,208N,2222,28,1782723455,0
1092130,208N,2210,29,1782723494,0
1092130,208N,100295,30,1782723534,0
1092130,208N,100296,31,1782723578,0
1092130,208N,100297,32,1782723635,0
1092130,208N,2079,33,1782723675,0
1092130,208N,2026,34,1782723707,0
1092130,208N,100728,35,1782723759,0
1092130,208N,100730,36,1782723794,0
1092130,208N,100089,37,1782723830,0
1092130,208N,100090,38,1782723882,0
1092130,208N,100091,39,1782723938,0
1092130,208N,100092,40,1782723976,0
1092130,208N,1927,999,1782724011,0
1092501,254X,2340,7,1782723738,0
1092501,254X,2247,8,1782723857,0
1092501,254X,2216,9,1782723879,0
1092501,254X,2161,10,1782723912,0
1092501,254X,2115,11,1782723933,0
1092501,254X,2028,12,1782723986,0
1092501,254X,1976,13,1782724018,0
1092501,254X,1945,14,1782724043,0
1092501,254X,1889,15,1782724088,0
1092501,254X,1855,16,1782724114,0
1092501,254X,1805,17,1782724105,0
1092501,254X,1790,18,1782724167,0
1092501,254X,1795,19,1782724203,0
1092501,254X,1801,20,1782724238,0
1092501,254X,1808,21,1782724282,0
1092501,254X,1816,22,1782724353,0
1092501,254X,1826,23,1782724390,0
1092501,254X,1830,24,1782724417,0
1092501,254X,1832,25,1782724439,0
1092501,254X,1817,26,1782724535,0
1092501,254X,1743,27,1782724565,0
1092501,254X,1707,28,1782724588,0
1092501,254X,101972,999,1782724653,0
1092554,254X,1790,18,1782723364,0
1092554,254X,1795,19,1782723399,0
1092554,254X,1801,20,1782723435,0
1092554,254X,1808,21,1782723477,0
1092554,254X,1816,22,1782723546,0
1092554,254X,1826,23,1782723583,0
1092554,254X,1830,24,1782723610,0
1092554,254X,1832,25,1782723632,0
1092554,254X,1817,26,1782723721,0
1092554,254X,1743,27,1782723752,0
1092554,254X,1707,28,1782723774,0
1092554,254X,101972,999,1782723839,0
1127432,720,100881,65,1782723467,0
1127432,720,100880,66,1782723557,0
1127432,720,5667,67,1782723660,0
1127432,720,5690,68,1782723684,0
1127432,720,5709,69,1782723723,0
1127432,720,100137,70,1782723762,0
1127432,720,100139,71,1782723841,0
1127432,720,5861,72,1782723898,0
1127432,720,100009,999,1782723979,0
1127434,720,5400,52,1782723388,0
1127434,720,5412,53,1782723413,0
1127434,720,5462,54,1782723499,0
1127434,720,6968,55,1782723610,0
1127434,720,5530,56,1782723633,0
1127434,720,5560,57,1782723657,0
1127434,720,5580,58,1782723715,0
1127434,720,5570,59,1782723742,0
1127434,720,5578,60,1782723778,0
1127434,720,5593,61,1782723812,0
1127434,720,5626,62,1782723854,0
1127434,720,6967,63,1782723899,0
1127434,720,100878,64,1782723963,0
1127434,720,100881,65,1782724106,0
1127434,720,100880,66,1782724186,0
1127434,720,5667,67,1782724279,0
1127434,720,5690,68,1782724318,0
1127434,720,5709,69,1782724363,0
1127434,720,100137,70,1782724438,0
1127434,720,100139,71,1782724610,0
1127434,720,5861,72,1782724675,0
1127434,720,100009,999,1782724730,0
1127450,719,3413,999,1782723387,0
1127485,720,5092,32,1782723399,0
1127485,720,5098,33,1782723427,0
1127485,720,5103,34,1782723529,0
1127485,720,5106,35,1782723551,0
1127485,720,5110,36,1782723572,0
1127485,720,5107,37,1782723654,0
1127485,720,5119,38,1782723784,0
1127485,720,5123,39,1782723829,0
1127485,720,5126,40,1782723856,0
1127485,720,5129,41,1782723886,0
1127485,720,5134,42,1782723921,0
1127485,720,5140,43,1782723946,0
1127485,720,5155,44,1782723982,0
1127485,720,102324,45,1782723994,0
1127485,720,5279,46,1782724037,0
1127485,720,5314,47,1782724058,0
1127485,720,6960,48,1782724089,0
1127485,720,5344,49,1782724128,0
1127485,720,5364,50,1782724152,0
1127485,720,5380,51,1782724152,0
1127485,720,5400,52,1782724201,0
1127485,720,5412,53,1782724223,0
